annee;code_departement;departement;amm;quantite_produit;conditionnement;eaj
2024;07;ARDECHE;2010509;20.0;K;Non
2024;22;COTES-D'ARMOR;2180858;19.8;K;Oui
2024;21;COTE-D'OR;2190066;371.9;K;Oui
2024;47;LOT-ET-GARONNE;2110173;220.0;K;Non
2024;59;NORD;2110192;0.4;K;Non
2024;08;ARDENNES;2190214;16336.7;L;Non
2024;77;SEINE-ET-MARNE;2190608;433.0;L;Non
2024;57;MOSELLE;2100057;3595.0;L;Non
2024;35;ILLE-ET-VILAINE;2160724;240.0;L;Non
2024;71;SAONE-ET-LOIRE;2230008;288.0;L;Non
2024;80;SOMME;2190311;1229.3;L;Non
2024;65;HAUTES-PYRENEES;2160556;8.0;L;Non
2024;58;NIEVRE;2180694;55.0;L;Non
2024;90;TERRITOIRE DE BELFORT;2200067;1423.8;K;Oui
2024;37;INDRE-ET-LOIRE;2030404;60.0;L;Non
2024;50;MANCHE;2140082;2004.0;L;Non
2024;73;SAVOIE;8400096;46.0;L;Non
2024;13;BOUCHES-DU-RHONE;2180598;95.0;L;Non
2024;43;HAUTE-LOIRE;2110012;25.0;L;Non
2024;77;SEINE-ET-MARNE;2080098;576.5;L;Non
2024;90;TERRITOIRE DE BELFORT;9500147;89.2;K;Oui
2024;77;SEINE-ET-MARNE;2220053;920.0;L;Non
2024;27;EURE;2160178;180.0;L;Non
2024;62;PAS-DE-CALAIS;2190265;245.0;K;Non
2024;72;SARTHE;2160936;1040.0;L;Non
2024;68;HAUT-RHIN;2110086;1593.0;L;Non
2024;68;HAUT-RHIN;2160272;8.5;L;Non
2024;972;MARTINIQUE;2090188;23660.0;L;Non
2024;40;LANDES;9800344;8.1;L;Non
2024;59;NORD;2190907;95.0;L;Non
2024;2B;HAUTE-CORSE;2150964;860.0;K;Non
2024;03;ALLIER;2160764;50.0;L;Non
2024;79;DEUX-SEVRES;8800199;525.0;L;Non
2024;95;VAL-D'OISE;2090101;140.0;L;Non
2024;74;HAUTE-SAVOIE;2180124;124.0;L;Non
2024;63;PUY-DE-DOME;2080060;1.0;L;Non
2024;29;FINISTERE;2161067;2.9;K;Non
2024;60;OISE;2150969;155.0;K;Oui
2024;91;ESSONNE;2080054;1.8;L;Oui
2024;64;PYRENEES-ATLANTIQUES;2190146;0.9;K;Non
2024;54;MEURTHE-ET-MOSELLE;2080125;0.3;K;Non
2024;01;AIN;2100015;47.8;K;Non
2024;70;HAUTE-SAONE;2060194;13284.0;K;Non
2024;33;GIRONDE;2220053;1275.0;L;Non
2024;55;MEUSE;8700462;40628.3;L;Non
2024;09;ARIEGE;2190268;393.7;L;Non
2024;39;JURA;2100037;5.0;L;Non
2024;18;CHER;2230008;2424.0;L;Non
2024;35;ILLE-ET-VILAINE;2080094;122.9;K;Non
2024;25;DOUBS;2010239;295.0;L;Non
2024;29;FINISTERE;2140022;2140.0;L;Non
2024;32;GERS;9600370;2955.0;L;Non
2024;29;FINISTERE;2080129;4.0;L;Non
2024;26;DROME;2170979;267.0;K;Non
2024;80;SOMME;2000536;17.1;K;Non
2024;49;MAINE-ET-LOIRE;2000046;395.0;L;Non
2024;47;LOT-ET-GARONNE;2130253;195.0;L;Non
2024;29;FINISTERE;2170424;400.0;L;Non
2024;63;PUY-DE-DOME;9900446;5.3;K;Non
2024;64;PYRENEES-ATLANTIQUES;2171119;140.0;K;Non
2024;59;NORD;9000833;140.0;L;Non
2024;69;RHONE;2060086;31.2;K;Non
2024;35;ILLE-ET-VILAINE;2100177;13.0;K;Non
2024;971;GUADELOUPE;2060098;267.2;L;Non
2024;42;LOIRE;2160936;1286.0;L;Non
2024;51;MARNE;2180256;5236.8;K;Oui
2024;89;YONNE;2210568;8108.2;L;Non
2024;72;SARTHE;2160617;1259.0;L;Non
2024;16;CHARENTE;2190687;159.0;K;Non
2024;26;DROME;2170796;15.0;L;Non
2024;55;MEUSE;2110018;47.0;L;Non
2024;59;NORD;2210702;40.0;L;Non
2024;33;GIRONDE;2180474;445.0;L;Non
2024;56;MORBIHAN;2100057;3295.0;L;Non
2024;35;ILLE-ET-VILAINE;7600008;40.0;L;Non
2024;74;HAUTE-SAVOIE;2120057;10.0;L;Non
2024;14;CALVADOS;8800519;39.2;K;Non
2024;37;INDRE-ET-LOIRE;2180864;50.0;L;Non
2024;22;COTES-D'ARMOR;2130202;8969.6;L;Non
2024;83;VAR;2220622;12.0;L;Non
2024;79;DEUX-SEVRES;2161068;75.0;L;Non
2024;76;SEINE-MARITIME;2090113;27970.0;L;Non
2024;28;EURE-ET-LOIR;2240337;60.0;L;Non
2024;76;SEINE-MARITIME;2171067;707.2;L;Oui
2024;12;AVEYRON;2190088;77.9;L;Oui
2024;55;MEUSE;2220270;600.0;K;Non
2024;89;YONNE;8800519;128.8;K;Non
2024;91;ESSONNE;2190395;51.0;L;Non
2024;89;YONNE;9300186;86.0;K;Non
2024;21;COTE-D'OR;2150130;503.0;L;Non
2024;87;HAUTE-VIENNE;8700196;50.0;L;Non
2024;10;AUBE;2190537;17715.0;K;Non
2024;32;GERS;2190198;5970.0;L;Non
2024;35;ILLE-ET-VILAINE;2170933;1623.0;K;Non
2024;16;CHARENTE;2100002;169.2;L;Non
2024;61;ORNE;2110177;264.0;L;Non
2024;974;LA REUNION;2170978;81.6;L;Oui
2024;44;LOIRE-ATLANTIQUE;2090177;126.0;L;Non
2024;74;HAUTE-SAVOIE;2090199;608.3;L;Oui
2024;73;SAVOIE;2150443;5.0;K;Non
2024;53;MAYENNE;2000003;1595.0;L;Non
2024;62;PAS-DE-CALAIS;9600195;2095.0;L;Non
2024;61;ORNE;9000163;3.8;K;Non
2024;77;SEINE-ET-MARNE;2090136;1180.0;L;Non
2024;02;AISNE;2210013;15410.0;L;Non
2024;33;GIRONDE;2200839;730.0;L;Non
2024;08;ARDENNES;9800018;6751.0;L;Non
2024;69;RHONE;2090157;87.0;L;Non
2024;35;ILLE-ET-VILAINE;2060084;217.0;K;Non
2024;45;LOIRET;2120153;16140.0;L;Non
2024;83;VAR;9500480;125.0;K;Non
2024;56;MORBIHAN;2190468;16.0;K;Non
2024;43;HAUTE-LOIRE;2210568;150.0;L;Non
2024;37;INDRE-ET-LOIRE;9300108;12280.0;K;Non
2024;28;EURE-ET-LOIR;2130244;5282.0;L;Non
2024;12;AVEYRON;9900354;10.0;K;Non
2024;63;PUY-DE-DOME;2170238;405.5;K;Non
2024;48;LOZERE;2060063;5.5;K;Non
2024;17;CHARENTE-MARITIME;2000301;2870.0;L;Non
2024;31;HAUTE-GARONNE;2180369;90.0;L;Non
2024;67;BAS-RHIN;9500628;105.0;K;Non
2024;12;AVEYRON;2210010;1.0;K;Non
2024;91;ESSONNE;2150757;70.0;L;Non
2024;08;ARDENNES;2180888;51.9;L;Oui
2024;19;CORREZE;2060098;22.7;L;Non
2024;21;COTE-D'OR;2060132;10.0;L;Non
2024;40;LANDES;2100038;7075.0;K;Non
2024;04;ALPES-DE-HAUTE-PROVENCE;7700216;2070.0;L;Non
2024;02;AISNE;2180165;70.0;L;Non
2024;39;JURA;2000301;215.0;L;Non
2024;54;MEURTHE-ET-MOSELLE;2100108;1350.0;L;Non
2024;79;DEUX-SEVRES;2220054;430.0;L;Non
2024;84;VAUCLUSE;2000207;15.0;L;Non
2024;60;OISE;9600025;36.0;K;Non
2024;86;VIENNE;2170712;55.0;L;Non
2024;89;YONNE;2190971;245.0;L;Non
2024;95;VAL-D'OISE;8600349;5.8;K;Oui
2024;55;MEUSE;2080019;75.0;L;Non
2024;74;HAUTE-SAVOIE;2100067;9.0;K;Non
2024;47;LOT-ET-GARONNE;9200214;9125.0;K;Non
2024;52;HAUTE-MARNE;2040146;13.2;L;Non
2024;77;SEINE-ET-MARNE;2100175;0.6;L;Non
2024;38;ISERE;2130164;3140.0;L;Non
2024;50;MANCHE;9000619;13420.0;L;Non
2024;17;CHARENTE-MARITIME;2030273;121.3;L;Oui
2024;84;VAUCLUSE;2100151;220.0;L;Non
2024;25;DOUBS;2180888;90.9;L;Oui
2024;01;AIN;2100181;2047.5;K;Non
2024;36;INDRE;2200206;1030.0;L;Non
2024;37;INDRE-ET-LOIRE;2110191;1505.0;L;Non
2024;01;AIN;9900123;9.5;K;Non
2024;80;SOMME;2200019;1935.0;L;Non
2024;79;DEUX-SEVRES;2090127;1580.0;L;Non
2024;29;FINISTERE;9800336;1653.5;L;Non
2024;67;BAS-RHIN;2220688;2268.0;L;Non
2024;971;GUADELOUPE;9600025;552.0;K;Non
2024;62;PAS-DE-CALAIS;2080105;10.0;L;Non
2024;45;LOIRET;2220321;3191.1;L;Non
2024;08;ARDENNES;2171111;10208.6;L;Non
2024;84;VAUCLUSE;2160423;283.4;K;Non
2024;08;ARDENNES;2200275;1.4;K;Non
2024;47;LOT-ET-GARONNE;9800219;605.0;L;Non
2024;33;GIRONDE;8600349;2.6;K;Oui
2024;62;PAS-DE-CALAIS;2120120;5695.0;L;Non
2024;18;CHER;2170979;982.6;K;Non
2024;30;GARD;9700401;24090.0;K;Non
2024;01;AIN;2080102;1165.0;L;Non
2024;01;AIN;2170237;82.2;K;Non
2024;68;HAUT-RHIN;2080123;9.5;K;Non
2024;40;LANDES;2210797;9494.0;L;Non
2024;79;DEUX-SEVRES;2010617;80.0;L;Non
2024;33;GIRONDE;2100016;97.3;K;Non
2024;30;GARD;9000069;50.0;L;Non
2024;32;GERS;2010239;435.0;L;Non
2024;54;MEURTHE-ET-MOSELLE;2210443;1745.0;L;Non
2024;50;MANCHE;2210337;475.0;L;Non
2024;31;HAUTE-GARONNE;2140104;6.9;L;Non
2024;63;PUY-DE-DOME;2060063;254.3;K;Non
2024;29;FINISTERE;8600243;8340.0;L;Non
2024;72;SARTHE;2180662;785.0;L;Non
2024;21;COTE-D'OR;2070221;3535.0;L;Non
2024;63;PUY-DE-DOME;2180334;18.0;L;Non
2024;76;SEINE-MARITIME;2210568;4250.0;L;Non
2024;44;LOIRE-ATLANTIQUE;2000316;477.0;L;Non
2024;59;NORD;2120206;25.0;L;Non
2024;50;MANCHE;9600001;1920.0;K;Non
2024;43;HAUTE-LOIRE;2200372;53.5;L;Oui
2024;78;YVELINES;2150100;4.5;L;Oui
2024;10;AUBE;2160727;916.0;K;Non
2024;24;DORDOGNE;2220622;29.0;L;Non
2024;83;VAR;9500568;117.0;K;Non
2024;974;LA REUNION;2130086;165.0;K;Non
2024;46;LOT;2150118;225.0;K;Non
2024;2B;HAUTE-CORSE;2180888;44.3;L;Oui
2024;80;SOMME;9700343;35.0;K;Non
2024;49;MAINE-ET-LOIRE;2220249;180.0;L;Non
2024;68;HAUT-RHIN;2000122;5.8;L;Non
2024;53;MAYENNE;2060063;79.0;K;Non
2024;34;HERAULT;2190962;10.0;L;Non
2024;76;SEINE-MARITIME;2210797;2250.0;L;Non
2024;57;MOSELLE;2180233;1684.0;L;Non
2024;35;ILLE-ET-VILAINE;2100028;120.0;L;Non
2024;87;HAUTE-VIENNE;2210138;675.0;L;Non
2024;83;VAR;2100030;1180.0;K;Non
2024;78;YVELINES;8300025;2.0;L;Non
2024;77;SEINE-ET-MARNE;2140078;483.4;L;Non
2024;35;ILLE-ET-VILAINE;8400096;3771.3;L;Non
2024;56;MORBIHAN;2140166;68.3;L;Oui
2024;91;ESSONNE;2100009;0.6;K;Non
2024;56;MORBIHAN;2180319;1669.1;L;Oui
2024;51;MARNE;9800343;150.0;L;Non
2024;57;MOSELLE;2030175;73.4;K;Oui
2024;34;HERAULT;2180735;15.0;L;Non
2024;47;LOT-ET-GARONNE;2140258;925.0;L;Non
2024;60;OISE;9800098;1265.0;K;Non
2024;04;ALPES-DE-HAUTE-PROVENCE;2171200;825.0;K;Non
2024;89;YONNE;2140270;7114.8;L;Non
2024;81;TARN;9800126;20.0;K;Non
2024;85;VENDEE;2150481;36.0;K;Non
2024;2B;HAUTE-CORSE;2180651;10.5;K;Non
2024;95;VAL-D'OISE;2020003;1771.8;K;Oui
2024;50;MANCHE;2211018;450.0;L;Non
2024;22;COTES-D'ARMOR;2170263;1500.0;L;Non
2024;77;SEINE-ET-MARNE;2020474;190.0;L;Non
2024;55;MEUSE;2130086;79653.2;K;Non
2024;54;MEURTHE-ET-MOSELLE;2170437;43.0;L;Non
2024;62;PAS-DE-CALAIS;2050046;6376.5;K;Non
2024;77;SEINE-ET-MARNE;9200159;216.0;L;Non
2024;18;CHER;2140201;19.0;L;Non
2024;45;LOIRET;2060132;9.0;L;Non
